Time_µs	C1 Voltage_mV
8.878619E+0	-1.562500E+1
8.902619E+0	1.562500E+1
8.926619E+0	0.000000E+0
8.950619E+0	0.000000E+0
8.974619E+0	-1.562500E+1
8.998619E+0	0.000000E+0
9.022619E+0	1.562500E+1
9.046619E+0	3.125000E+1
9.070619E+0	-1.562500E+1
9.094619E+0	1.562500E+1
9.118619E+0	1.562500E+1
9.142619E+0	1.562500E+1
9.166619E+0	1.562500E+1
9.190619E+0	-1.562500E+1
9.214619E+0	-1.562500E+1
9.238619E+0	1.562500E+1
9.262619E+0	0.000000E+0
9.286619E+0	1.562500E+1
9.310619E+0	1.562500E+1
9.334619E+0	1.562500E+1
9.358619E+0	-1.562500E+1
9.382619E+0	0.000000E+0
9.406619E+0	1.562500E+1
9.430619E+0	3.125000E+1
9.454619E+0	-1.562500E+1
9.478619E+0	1.562500E+1
9.502619E+0	0.000000E+0
9.526619E+0	1.562500E+1
9.550619E+0	0.000000E+0
9.574619E+0	-1.562500E+1
9.598619E+0	-1.562500E+1
9.622619E+0	3.125000E+1
9.646619E+0	1.562500E+1
9.670619E+0	1.562500E+1
9.694619E+0	0.000000E+0
9.718619E+0	1.562500E+1
9.742619E+0	1.562500E+1
9.766619E+0	3.125000E+1
9.790619E+0	3.125000E+1
